iter	Passed	Remaining
574	19303	14268
575	19334	14232
576	19367	14198
577	19398	14163
578	19429	14127
579	19465	14095
580	19497	14061
581	19526	14024
582	19559	13990
583	19592	13956
584	19624	13921
585	19660	13890
586	19695	13857
587	19724	13820
588	19756	13785
589	19787	13750
590	19819	13715
591	19849	13680
592	19881	13645
593	19917	13613
594	19947	13577
595	19980	13543
596	20009	13507
597	20038	13470
598	20069	13435
599	20103	13402
600	20139	13370
601	20171	13335
602	20204	13302
603	20234	13266
604	20267	13232
605	20300	13198
606	20336	13166
607	20371	13134
608	20403	13099
609	20434	13064
610	20466	13030
611	20500	12997
612	20533	12963
613	20571	12932
614	20606	12899
615	20635	12863
616	20666	12828
617	20703	12797
618	20735	12763
619	20765	12727
620	20802	12695
621	20838	12664
622	20885	12638
623	20921	12606
624	20951	12570
625	20983	12536
626	21020	12504
627	21064	12477
628	21099	12445
629	21134	12412
630	21167	12378
631	21205	12347
632	21251	12321
633	21289	12290
634	21320	12255
635	21351	12220
636	21397	12193
637	21443	12167
638	21487	12139
639	21524	12107
640	21582	12087
641	21641	12068
642	21810	12109
643	21862	12085
644	21919	12064
645	21968	12038
646	22012	12010
647	22063	11985
648	22113	11959
649	22159	11932
650	22201	11902
651	22246	11873
652	22289	11844
653	22332	11815
654	22375	11785
655	22414	11754
656	22465	11728
657	22522	11706
658	22557	11672
659	22589	11637
660	22625	11603
661	22658	11568
662	22693	11534
663	22728	11501
664	22765	11468
665	22796	11432
666	22830	11398
667	22863	11363
668	22895	11327
669	22928	11292
670	22965	11260
671	22997	11225
672	23029	11189
673	23062	11154
674	23092	11118
675	23126	11084
676	23161	11050
677	23197	11017
678	23234	10984
679	23265	10948
680	23297	10913
681	23329	10878
682	23363	10843
683	23393	10807
684	23433	10775
685	23467	10741
686	23494	10704
687	23527	10669
688	23560	10634
689	23593	10599
690	23625	10564
691	23672	10536
692	23703	10500
693	23737	10466
694	23771	10432
695	23802	10396
696	23837	10362
697	23872	10328
698	23908	10295
699	23946	10262
700	23978	10227
701	24009	10192
702	24046	10158
703	24077	10123
704	24108	10087
705	24146	10055
706	24177	10019
707	24209	9984
708	24244	9950
709	24277	9916
710	24309	9881
711	24343	9846
712	24385	9815
713	24417	9780
714	24450	9745
715	24488	9713
716	24521	9678
717	24555	9644
718	24587	9609
719	24624	9576
720	24666	9544
721	24696	9509
722	24727	9473
723	24775	9444
724	24811	9411
725	24858	9381
726	24894	9348
727	24933	9315
728	24970	9282
729	25006	9249
730	25042	9215
731	25091	9186
732	25127	9152
733	25160	9118
734	25205	9087
735	25244	9054
736	25283	9022
737	25319	8988
738	25357	8955
739	25392	8921
740	25425	8887
741	25460	8852
742	25498	8819
743	25535	8786
744	25574	8753
745	25609	8719
746	25651	8687
747	25686	8653
748	25721	8619
749	25763	8587
750	25801	8554
751	25835	8520
752	25869	8485
753	25901	8450
754	25937	8416
755	25972	8382
756	26014	8350
757	26052	8317
758	26085	8282
759	26126	8250
760	26164	8217
761	26198	8182
762	26238	8150
763	26275	8116
764	26309	8081
765	26343	8047
766	26378	8013
767	26413	7979
768	26458	7948
769	26492	7913
770	26531	7880
771	26564	7845
772	26597	7810
773	26644	7780
774	26679	7745
775	26716	7711
776	26753	7678
777	26788	7643
778	26821	7609
779	26859	7575
780	26895	7541
781	26929	7507
782	26961	7472
783	26995	7437
784	27027	7402
785	27061	7367
786	27101	7335
787	27132	7299
788	27164	7264
789	27195	7229
790	27231	7195
791	27274	7163
792	27309	7128
793	27345	7094
794	27378	7059
795	27409	7024
796	27445	6990
797	27477	6955
798	27510	6920
799	27547	6886
800	27578	6851
801	27614	6817
802	27653	6784
803	27689	6750
804	27721	6715
805	27755	6680
806	27790	6646
807	27820	6610
808	27854	6576
809	27895	6543
810	27926	6508
811	27956	6472
812	27996	6439
813	28026	6404
814	28057	6368
815	28099	6336
816	28134	6301
817	28178	6269
818	28220	6236
819	28262	6203
820	28300	6170
821	28341	6137
822	28383	6104
823	28424	6071
824	28466	6038
825	28505	6004
826	28545	5971
827	28585	5938
828	28629	5905
829	28665	5871
830	28698	5836
831	28730	5801
832	28763	5766
833	28795	5731
834	28830	5696
835	28868	5663
836	28901	5628
837	28940	5594
838	28973	5559
839	29005	5524
840	29035	5489
841	29068	5454
842	29163	5431
843	29267	5409
844	29317	5377
845	29348	5342
846	29383	5307
847	29424	5274
848	29462	5240
849	29500	5205
850	29537	5171
851	29576	5137
852	29621	5104
853	29663	5071
854	29702	5037
855	29743	5003
856	29784	4969
857	29820	4935
858	29864	4902
859	29902	4867
860	29945	4834
861	29986	4800
862	30029	4767
863	30066	4732
864	30112	4699
865	30154	4665
866	30194	4631
867	30232	4597
868	30270	4563
869	30308	4528
870	30352	4495
871	30393	4461
872	30434	4427
873	30474	4393
874	30517	4359
875	30557	4325
876	30602	4291
877	30641	4257
878	30679	4223
879	30718	4188
880	30756	4154
881	30794	4119
882	30838	4086
883	30878	4051
884	30916	4017
885	30956	3983
886	30993	3948
887	31031	3913
888	31069	3879
889	31112	3845
890	31154	3811
891	31192	3776
892	31232	3742
893	31270	3707
894	31312	3673
895	31357	3639
896	31394	3604
897	31431	3570
898	31469	3535
899	31507	3500
900	31551	3466
901	31594	3432
902	31634	3398
903	31674	3363
904	31710	3328
905	31752	3294
906	31797	3260
907	31837	3225
908	31877	3191
909	31915	3156
910	31952	3121
911	31993	3087
912	32039	3053
913	32078	3018
914	32116	2983
915	32157	2948
916	32196	2914
917	32234	2879
918	32280	2845
919	32318	2810
920	32358	2775
921	32397	2740
922	32437	2706
923	32476	2671
924	32515	2636
925	32555	2601
926	32598	2567
927	32633	2531
928	32668	2496
929	32706	2461
930	32750	2427
931	32788	2392
932	32827	2357
933	32868	2322
934	32910	2287
935	32950	2253
936	32990	2218
937	33030	2183
938	33072	2148
939	33112	2113
940	33152	2078
941	33191	2043
942	33249	2009
943	33287	1974
944	33323	1939
945	33361	1904
946	33401	1869
947	33438	1834
948	33483	1799
949	33512	1763
950	33545	1728
951	33584	1693
952	33617	1657
953	33648	1622
954	33678	1586
955	33708	1551
956	33741	1516
957	33773	1480
958	33805	1445
959	33837	1409
960	33872	1374
961	33905	1339
962	33942	1304
963	33973	1268
964	34005	1233
965	34035	1197
966	34069	1162
967	34101	1127
968	34134	1092
969	34172	1056
970	34203	1021
971	34232	986
972	34266	950
973	34298	915
974	34329	880
975	34361	844
976	34399	809
977	34434	774
978	34467	739
979	34499	704
980	34535	668
981	34568	633
982	34599	598
983	34635	563
984	34668	527
985	34701	492
986	34732	457
987	34764	422
988	34797	387
989	34832	351
990	34877	316
991	34917	281
992	34956	246
993	34997	211
994	35034	176
995	35071	140
996	35114	105
997	35152	70
998	35193	35
999	35234	0
